role,level,rate_low,rate_medium,rate_high,salary_low,salary_medium,salary_high
Test Role 0001,Junior,351,426,501,70035,90035,110035
Test Role 0002,Mid,352,427,502,70070,90070,110070
Test Role 0003,Senior,353,428,503,70105,90105,110105
Test Role 0004,Lead,354,429,504,70140,90140,110140
Test Role 0005,Architect,355,430,505,70175,90175,110175
Test Role 0006,Junior,356,431,506,70210,90210,110210
Test Role 0007,Mid,357,432,507,70245,90245,110245
Test Role 0008,Senior,358,433,508,70280,90280,110280
Test Role 0009,Lead,359,434,509,70315,90315,110315
Test Role 0010,Architect,360,435,510,70350,90350,110350
Test Role 0011,Junior,361,436,511,70385,90385,110385
Test Role 0012,Mid,362,437,512,70420,90420,110420
Test Role 0013,Senior,363,438,513,70455,90455,110455
Test Role 0014,Lead,364,439,514,70490,90490,110490
Test Role 0015,Architect,365,440,515,70525,90525,110525
Test Role 0016,Junior,366,441,516,70560,90560,110560
Test Role 0017,Mid,367,442,517,70595,90595,110595
Test Role 0018,Senior,368,443,518,70630,90630,110630
Test Role 0019,Lead,369,444,519,70665,90665,110665
Test Role 0020,Architect,370,445,520,70700,90700,110700
Test Role 0021,Junior,371,446,521,70735,90735,110735
Test Role 0022,Mid,372,447,522,70770,90770,110770
Test Role 0023,Senior,373,448,523,70805,90805,110805
Test Role 0024,Lead,374,449,524,70840,90840,110840
Test Role 0025,Architect,375,450,525,70875,90875,110875
Test Role 0026,Junior,376,451,526,70910,90910,110910
Test Role 0027,Mid,377,452,527,70945,90945,110945
Test Role 0028,Senior,378,453,528,70980,90980,110980
Test Role 0029,Lead,379,454,529,71015,91015,111015
Test Role 0030,Architect,380,455,530,71050,91050,111050
Test Role 0031,Junior,381,456,531,71085,91085,111085
Test Role 0032,Mid,382,457,532,71120,91120,111120
Test Role 0033,Senior,383,458,533,71155,91155,111155
Test Role 0034,Lead,384,459,534,71190,91190,111190
Test Role 0035,Architect,385,460,535,71225,91225,111225
Test Role 0036,Junior,386,461,536,71260,91260,111260
Test Role 0037,Mid,387,462,537,71295,91295,111295
Test Role 0038,Senior,388,463,538,71330,91330,111330
Test Role 0039,Lead,389,464,539,71365,91365,111365
Test Role 0040,Architect,390,465,540,71400,91400,111400
Test Role 0041,Junior,391,466,541,71435,91435,111435
Test Role 0042,Mid,392,467,542,71470,91470,111470
Test Role 0043,Senior,393,468,543,71505,91505,111505
Test Role 0044,Lead,394,469,544,71540,91540,111540
Test Role 0045,Architect,395,470,545,71575,91575,111575
Test Role 0046,Junior,396,471,546,71610,91610,111610
Test Role 0047,Mid,397,472,547,71645,91645,111645
Test Role 0048,Senior,398,473,548,71680,91680,111680
Test Role 0049,Lead,399,474,549,71715,91715,111715
Test Role 0050,Architect,400,475,550,71750,91750,111750
Test Role 0051,Junior,401,476,551,71785,91785,111785
Test Role 0052,Mid,402,477,552,71820,91820,111820
Test Role 0053,Senior,403,478,553,71855,91855,111855
Test Role 0054,Lead,404,479,554,71890,91890,111890
